"RespID","wgtpop (in 10's)","wgthh (in 10's)","I am happy with my weight {sumax(X16600,C4,X16601,C3,X16602,C2,X16599,C1)}","Household Income {sumax(X85317370,C4.00,X85317368,C14.00,X85317373,C24.00,X85317369,C34.00,X85317374,C44.00,X24925,C54.00,X24935,C67.00,X24938,C87.00,X85317371,C112.00,X85317372,C137.00,X24929,C174.00,X24924,C224.00,X70839,C299.00,X70840,C424.00,X70841,C500.00)}","I am as close to my friend group as I am to my family {sumax(X91585726,C4,X91589417,C3,X91590927,C2,X91588007,C1)}","Faith: Holding to religious faith and belief {sumax(X14833,C2.5,X14834,C1,X14835,C4)}","I am perfectly happy with my standard of living {sumax(X91583243,C4,X91591993,C3,X91592876,C2,X91586625,C1)}","Politics {sumax(X61206,C1,X61209,C2,X61208,C3,X61210,C4,X61207,C5)}"
85001W859R6G43K,70,70,2,24,2,4,3,3
85001W859RKT772,785,783,4,54,3,4,3,3
85001W859RVRHVA,111,55,4,34,4,1,2,2
85001W859TSG92R,154,153,1,87,3,2,3,3
85001W859WECPDC,377,190,3,174,2,2,3,2
85001W859Y3UFTF,687,690,3,14,3,2,4,2
85001W859Y85284,483,160,2,224,2,4,3,2
85001W859YXVHWW,219,73,2,112,3,4,3,3
85001W85A1KMPZJ,179,90,4,54,1,4,1,5
85001W85A26824A,215,108,4,224,2,2,4,3
85001W85A4A8CUR,118,59,3,87,2,2,2,5
85001W85A4GFXUX,179,90,3,44,4,2,1,4
85001W85A4TWN2S,298,60,2,137,2,2,2,2
85001W85A5GTU18,361,181,4,112,1,1,4,5
85001W85A94K45S,173,87,3,4,1,4,2,4
85001W85A94KGH4,105,52,2,174,2,1,2,5
85001W85AAR1G33,247,62,4,224,2,1,3,2
85001W85ABME5J6,176,177,4,87,3,1,2,4
85001W85AM8F7CF,70,18,1,500,3,1,2,3
85001W85AR6D6JS,394,197,4,299,2,4,2,5
85001W85AT7U36F,424,140,4,174,1,4,4,4
85001W85ATFZR1S,971,488,2,224,2,1,3,2
85001W85AVZAFX8,138,28,3,137,2,4,2,3
85001W85AVZSER3,70,18,3,87,2,1,2,3
85001W85AW6H4BQ,70,36,4,34,3,1,4,5
85001W85AWDQCD1,1760,877,2,137,2,4,3,3
85001W85AWUR1KT,99,99,2,87,3,1,3,1
85001W85AX1PK5X,2877,1435,1,34,4,1,2,3
85001W85AXKNPE5,2877,1435,1,4,4,1,4,3
85001W85AYJSWJ4,565,285,2,224,1,1,3,3
85001W85AYYGG51,650,130,2,54,2,2,3,4
85001W85AZ542B7,565,285,2,174,3,1,3,2
85001W85B21W6QT,91,30,4,112,4,4,3,2
85001W85B2U8E9K,201,101,2,112,2,4,3,5
85001W85B3C8WZG,138,69,2,24,4,4,3,5
85001W85B3QA9T4,229,115,1,174,3,1,3,4
85001W85B3X5J5M,576,290,2,299,3,4,3,5
85001W85B5PRPN8,724,242,3,112,3,1,4,2
85001W85B5QXWNN,70,35,3,299,3,1,2,4
85001W85B5ZZ7CD,109,54,4,34,2,4,3,1
85001W85B8CAAMM,307,77,3,87,2,2,3,1
85001W85B98DZGP,89,22,3,299,2,4,4,5
85001W85BA1DQ69,206,207,2,112,2,4,3,4
85001W85BA6HRKE,133,133,2,24,3,4,3,5
85001W85BEHTQ47,466,234,2,299,2,2,2,3
85001W85BF3N1YJ,99,49,3,112,3,4,3,2
85001W85BG4MTF2,70,35,1,87,3,2,3,3
85001W85BG4PMSQ,857,288,4,112,2,4,4,4
85001W85BHBWN2Z,70,36,3,67,3,1,4,2
85001W85BHK7YKJ,330,166,1,174,3,4,3,1
85001W85BJ4FBBA,409,205,3,174,4,2,4,3
85001W85BM1S2U8,308,153,3,54,1,1,3,1
85001W85BM6QBXR,126,63,3,87,1,4,4,3
85001W85BMDWP7X,441,220,3,174,1,4,4,3
85001W85BPF8FYW,362,361,3,34,3,4,3,3
85001W85BQ9JEVF,419,210,3,67,1,4,4,1
85001W85BRH512C,251,84,4,174,3,1,3,4
85001W85BSAP27J,313,158,4,87,3,1,4,3
85001W85BSNVP81,450,224,2,224,2,4,3,3
85001W85BT98UPB,745,372,4,424,3,1,3,4
85001W85BTAQFZ3,70,36,4,224,4,4,4,2
85001W85BTCRX29,218,73,1,54,3,4,4,4
85001W85BTY2AG4,924,921,4,87,3,4,3,4
85001W85BWPGZ98,474,236,2,174,3,1,3,2
85001W85BXGCQ77,185,93,2,87,4,4,2,3
85001W85BYDBW9F,744,371,2,224,2,2,3,2
85001W85BYMG69V,70,35,2,224,4,1,4,2
85001W85BZB9A2Y,424,212,2,299,4,1,4,1
